0,0,20,20
0,30,20,50
0,60,20,80
0,90,20,110
0,120,20,140
0,150,20,170
0,180,20,200
0,210,20,230
0,240,20,260
0,270,20,290
30,0,50,20
30,30,50,50
30,60,50,80
30,90,50,110
30,120,50,140
30,150,50,170
30,180,50,200
30,210,50,230
30,240,50,260
30,270,50,290
60,0,80,20
60,30,80,50
60,60,80,80
60,90,80,110
60,120,80,140
60,150,80,170
60,180,80,200
60,210,80,230
60,240,80,260
60,270,80,290
90,0,110,20
90,30,110,50
90,60,110,80
90,90,110,110
90,120,110,140
90,150,110,170
90,180,110,200
90,210,110,230
90,240,110,260
90,270,110,290
120,0,140,20
120,30,140,50
120,60,140,80
120,90,140,110
120,120,140,140
120,150,140,170
120,180,140,200
120,210,140,230
120,240,140,260
120,270,140,290
150,0,170,20
150,30,170,50
150,60,170,80
150,90,170,110
150,120,170,140
150,150,170,170
150,180,170,200
150,210,170,230
150,240,170,260
150,270,170,290
180,0,200,20
180,30,200,50
180,60,200,80
180,90,200,110
180,120,200,140
180,150,200,170
180,180,200,200
180,210,200,230
180,240,200,260
180,270,200,290
210,0,230,20
210,30,230,50
210,60,230,80
210,90,230,110
210,120,230,140
210,150,230,170
210,180,230,200
210,210,230,230
210,240,230,260
210,270,230,290
240,0,260,20
240,30,260,50
240,60,260,80
240,90,260,110
240,120,260,140
240,150,260,170
240,180,260,200
240,210,260,230
240,240,260,260
240,270,260,290
270,0,290,20
270,30,290,50
270,60,290,80
270,90,290,110
270,120,290,140
270,150,290,170
270,180,290,200
270,210,290,230
270,240,290,260
270,270,290,290
300,300,20,20
300,330,20,50
300,360,20,80
300,390,20,110
300,420,20,140
300,450,20,170
300,480,20,200
300,510,20,230
300,540,20,260
300,570,20,290
330,300,50,20
330,330,50,50
330,360,50,80
330,390,50,110
330,420,50,140
330,450,50,170
330,480,50,200
330,510,50,230
330,540,50,260
330,570,50,290
360,300,80,20
360,330,80,50
360,360,80,80
360,390,80,110
360,420,80,140
360,450,80,170
360,480,80,200
360,510,80,230
360,540,80,260
360,570,80,290
390,300,110,20
390,330,110,50
390,360,110,80
390,390,110,110
390,420,110,140
390,450,110,170
390,480,110,200
390,510,110,230
390,540,110,260
390,570,110,290
420,300,140,20
420,330,140,50
420,360,140,80
420,390,140,110
420,420,140,140
420,450,140,170
420,480,140,200
420,510,140,230
420,540,140,260
420,570,140,290
450,300,170,20
450,330,170,50
450,360,170,80
450,390,170,110
450,420,170,140
450,450,170,170
450,480,170,200
450,510,170,230
450,540,170,260
450,570,170,290
480,300,200,20
480,330,200,50
480,360,200,80
480,390,200,110
480,420,200,140
480,450,200,170
480,480,200,200
480,510,200,230
480,540,200,260
480,570,200,290
510,300,230,20
510,330,230,50
510,360,230,80
510,390,230,110
510,420,230,140
510,450,230,170
510,480,230,200
510,510,230,230
510,540,230,260
510,570,230,290
540,300,260,20
540,330,260,50
540,360,260,80
540,390,260,110
540,420,260,140
540,450,260,170
540,480,260,200
540,510,260,230
540,540,260,260
540,570,260,290
570,300,290,20
570,330,290,50
570,360,290,80
570,390,290,110
570,420,290,140
570,450,290,170
570,480,290,200
570,510,290,230
570,540,290,260
570,570,290,290
0,0,320,320
0,30,320,350
0,60,320,380
0,90,320,410
0,120,320,440
0,150,320,470
0,180,320,500
0,210,320,530
0,240,320,560
0,270,320,590
30,0,350,320
30,30,350,350
30,60,350,380
30,90,350,410
30,120,350,440
30,150,350,470
30,180,350,500
30,210,350,530
30,240,350,560
30,270,350,590
60,0,380,320
60,30,380,350
60,60,380,380
60,90,380,410
60,120,380,440
60,150,380,470
60,180,380,500
60,210,380,530
60,240,380,560
60,270,380,590
90,0,410,320
90,30,410,350
90,60,410,380
90,90,410,410
90,120,410,440
90,150,410,470
90,180,410,500
90,210,410,530
90,240,410,560
90,270,410,590
120,0,440,320
120,30,440,350
120,60,440,380
120,90,440,410
120,120,440,440
120,150,440,470
120,180,440,500
120,210,440,530
120,240,440,560
120,270,440,590
150,0,470,320
150,30,470,350
150,60,470,380
150,90,470,410
150,120,470,440
150,150,470,470
150,180,470,500
150,210,470,530
150,240,470,560
150,270,470,590
180,0,500,320
180,30,500,350
180,60,500,380
180,90,500,410
180,120,500,440
180,150,500,470
180,180,500,500
180,210,500,530
180,240,500,560
180,270,500,590
210,0,530,320
210,30,530,350
210,60,530,380
210,90,530,410
210,120,530,440
210,150,530,470
210,180,530,500
210,210,530,530
210,240,530,560
210,270,530,590
